Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,Clearing Fee,Exchange Fee,IP Fee,NFA Fee,MAE,MFE,ETD,Bars,
132,MGC 02-26,Playback101,,Short,1,4265.3,4258.2,10/12/25 4:21:33 p. m.,10/12/25 7:00:01 p. m.,EntryShort,Buy to cover,$7100,$3.00200,$000,$000,$000,$000,$000,$2500,$14100,$7000,100,
133,MGC 02-26,Playback101,,Short,1,4265.3,4258.1,10/12/25 4:21:33 p. m.,10/12/25 7:00:01 p. m.,EntryShort,Buy to cover,$7200,$3.07400,$000,$000,$000,$000,$000,$2500,$14100,$6900,100,
134,MNQ 12-25,Playback101,,Short,1,25846.00,25778.50,10/12/25 4:25:26 p. m.,10/12/25 7:00:02 p. m.,EntryShort,SL_Short,$13500,$3.20900,$000,$000,$000,$000,$000,$3450,$18350,$4850,96,
135,MNQ 12-25,Playback101,,Short,1,25846.00,25778.25,10/12/25 4:25:26 p. m.,10/12/25 7:00:02 p. m.,EntryShort,SL_Short,$13550,$3.34450,$000,$000,$000,$000,$000,$3450,$18350,$4800,96,
136,MGC 02-26,Playback101,,Short,1,4271.6,4265.2,10/12/25 8:30:26 p. m.,10/12/25 8:59:01 p. m.,EntryShort,TP1_Short,$6400,$3.40850,$000,$000,$000,$000,$000,$1200,$7900,$1500,30,
137,MGC 02-26,Playback101,,Short,1,4271.6,4271.6,10/12/25 8:30:26 p. m.,10/12/25 9:00:56 p. m.,EntryShort,SL_Short,$000,$3.40850,$000,$000,$000,$000,$000,$1200,$7900,$7900,31,
138,MNQ 12-25,Playback101,,Long,1,25542.75,25523.00,10/12/25 10:57:10 p. m.,10/12/25 11:01:46 p. m.,EntryLong,SL_Long,$-3950,$3.36900,$000,$000,$000,$000,$000,$4700,$1850,$5800,5,
139,MNQ 12-25,Playback101,,Long,1,25542.75,25523.00,10/12/25 10:57:10 p. m.,10/12/25 11:01:46 p. m.,EntryLong,SL_Long,$-3950,$3.32950,$000,$000,$000,$000,$000,$4700,$1850,$5800,5,
140,MCL 01-26,Playback101,,Long,1,57.98,57.92,11/12/25 4:17:14 a. m.,11/12/25 4:19:12 a. m.,EntryLong,Sell,$-600,$3.32350,$000,$000,$000,$000,$000,$600,$400,$1000,3,
141,MCL 01-26,Playback101,,Long,1,57.98,57.92,11/12/25 4:17:14 a. m.,11/12/25 4:19:12 a. m.,EntryLong,Sell,$-600,$3.31750,$000,$000,$000,$000,$000,$600,$400,$1000,3,
142,MNQ 12-25,Playback101,,Long,1,25441.50,25587.00,10/12/25 11:34:01 p. m.,11/12/25 5:21:50 a. m.,EntryLong,TP1_Long,$29100,$3.60850,$000,$000,$000,$000,$000,$1500,$45900,$16800,348,
143,MES 12-25,Playback101,,Long,1,6829.00,6854.75,10/12/25 11:32:48 p. m.,11/12/25 5:52:56 a. m.,EntryLong,TP1_Long,$12875,$3.73725,$000,$000,$000,$000,$000,$1375,$16875,$4000,381,
144,MCL 01-26,Playback101,,Long,1,57.72,57.62,11/12/25 5:00:22 a. m.,11/12/25 6:02:04 a. m.,EntryLong,Sell,$-1000,$3.72725,$000,$000,$000,$000,$000,$1100,$1000,$2000,63,
145,MCL 01-26,Playback101,,Long,1,57.72,57.63,11/12/25 5:00:22 a. m.,11/12/25 6:02:04 a. m.,EntryLong,Sell,$-900,$3.71825,$000,$000,$000,$000,$000,$1100,$1000,$1900,63,
146,MES 12-25,Playback101,,Long,1,6829.00,6862.50,10/12/25 11:32:48 p. m.,11/12/25 7:55:46 a. m.,EntryLong,TP2_Long,$16750,$3.88575,$000,$000,$000,$000,$000,$1375,$16875,$125,504,
