ID,Instrument,EntryTime,Type,EntryPrice,ExitTime,ExitPrice,Result,PnL,Commission,NetPnL,MAE,MFE,Setup,Attempt,RiskReward,DeltaAtEntry,DeltaDirection,SessionDelta,DeltaAtTP1
11,MHG 03-26,2025-12-15 22:54:00,Long,5.3485,2025-12-15 22:54:00,5.3475,SL_Long_06,-200.00,123.20,-323.20,-200.00,100.00,Europe Low,6,-1.00,0,1,0,0
12,MHG 03-26,2025-12-15 22:55:00,Long,5.345,2025-12-15 22:55:00,5.344,SL_Long_07,-200.00,123.20,-323.20,-200.00,0.00,Europe Low,7,-1.00,0,1,0,0
13,MHG 03-26,2025-12-16 21:09:00,Short,5.3775,2025-12-16 21:10:00,5.3785,SL_Short_01,-200.00,123.20,-323.20,-200.00,100.00,USA High,1,-1.00,0,1,0,0
14,MHG 03-26,2025-12-16 21:27:00,Short,5.3885,2025-12-16 21:29:00,5.3935,SL_Short_02,-100.00,12.32,-112.32,-100.00,0.00,USA High,2,-1.00,0,1,0,0
15,MHG 03-26,2025-12-16 21:34:00,Short,5.3895,2025-12-16 21:43:00,5.394,SL_Short_03,-101.25,13.86,-115.11,-101.25,123.75,USA High,3,-1.00,0,1,0,0
16,MHG 03-26,2025-12-16 22:00:00,Short,5.3915,2025-12-16 22:05:00,5.38,TP1_Short_04,115.00,6.16,108.84,-8.75,218.75,USA High,4,1.19,0,1,0,0
16.2,MHG 03-26,2025-12-16 22:00:00,Short,5.3915,2025-12-16 22:31:00,5.3915,SL_Short_04,0.00,4.62,-4.62,-8.75,218.75,USA High,4,0.00,0,1,0,0
17,MHG 03-26,2025-12-17 01:39:00,Short,5.427,2025-12-17 01:39:00,5.4275,SL_Short_01,-2.50,3.08,-5.58,-5.00,0.00,Asia High,1,-1.00,0,1,0,0
18.1,MHG 03-26,2025-12-17 04:30:00,Short,5.395,2025-12-17 04:30:00,5.394,TP1_Short_02,2.50,1.54,0.96,0.00,2.50,Asia High,2,0.01,0,1,0,0
18.2,MHG 03-26,2025-12-17 04:30:00,Short,5.395,2025-12-17 04:30:00,5.395,SL_Short_02,0.00,1.54,-1.54,0.00,2.50,Asia High,2,0.00,0,1,0,0
19,MHG 03-26,2025-12-17 09:32:00,Short,5.437,2025-12-17 09:33:00,5.4375,SL_Short_03,-2.50,3.08,-5.58,-2.50,20.00,Asia High,3,-1.00,0,1,0,0
20,MHG 03-26,2025-12-17 09:34:00,Short,5.4385,2025-12-17 09:34:00,5.439,SL_Short_04,-2.50,3.08,-5.58,-2.50,2.50,Asia High,4,-1.00,0,1,0,0
21,MHG 03-26,2025-12-17 09:56:00,Short,5.445,2025-12-17 09:56:00,5.4455,SL_Short_05,-2.50,3.08,-5.58,-5.00,10.00,Asia High,5,-1.00,0,1,0,0
22,MHG 03-26,2025-12-17 21:14:00,Long,5.3945,2025-12-17 21:24:00,5.3905,SL_Long_01,-90.00,13.86,-103.86,-101.25,123.75,USA Low,1,-1.00,0,1,0,0
23,MHG 03-26,2025-12-17 21:29:00,Long,5.3825,2025-12-17 22:27:00,5.405,TP1_Long_01,450.00,12.32,437.68,-40.00,920.00,Europe Low,1,4.50,0,1,0,0
23.2,MHG 03-26,2025-12-17 21:29:00,Long,5.3825,2025-12-18 09:55:00,5.465,TP2_Long_01,1650.00,12.32,1637.68,-40.00,1660.00,Europe Low,1,16.50,0,1,0,0
24,MHG 03-26,2025-12-19 01:25:00,Short,5.4735,2025-12-19 01:31:00,5.475,SL_Short_01,-7.50,3.08,-10.58,-7.50,17.50,Europe High,1,-1.00,0,1,0,0
25,MHG 03-26,2025-12-19 01:34:00,Short,5.49,2025-12-19 01:50:00,5.4905,SL_Short_02,-2.50,3.08,-5.58,-5.00,60.00,Europe High,2,-1.00,0,1,0,0
26,MHG 03-26,2025-12-19 01:53:00,Short,5.498,2025-12-19 01:53:00,5.4985,SL_Short_03,-2.50,3.08,-5.58,-2.50,0.00,Europe High,3,-1.00,0,1,0,0
27,MHG 03-26,2025-12-19 07:59:00,Short,5.5003488372093,2025-12-19 08:27:00,5.506,SL_Short_01,-113.02,12.32,-125.34,-113.02,176.98,Asia High,1,-1.10,0,1,0,0
28,MHG 03-26,2025-12-19 08:32:00,Short,5.50597674418605,2025-12-19 08:32:00,5.508,SL_Short_02,-101.16,30.80,-131.96,-101.16,23.84,Asia High,2,-1.00,0,1,0,0
29,MHG 03-26,2025-12-19 08:41:00,Short,5.5065,2025-12-19 08:44:00,5.5115,SL_Short_03,-87.50,10.78,-98.28,-87.50,35.00,Asia High,3,-1.00,0,1,0,0
30,MHG 03-26,2025-12-19 08:48:00,Short,5.514,2025-12-19 08:48:00,5.515,SL_Short_04,-200.00,123.20,-323.20,-200.00,0.00,Asia High,4,-1.00,0,1,0,0
31,MHG 03-26,2025-12-19 08:57:00,Short,5.51397619047619,2025-12-19 09:01:00,5.5185,SL_Short_05,-90.48,12.32,-102.80,-100.48,29.52,Asia High,5,-1.00,0,1,0,0
