ID,Instrument,EntryTime,Type,EntryPrice,ExitTime,ExitPrice,Result,PnL,Commission,NetPnL,MAE,MFE,Setup,Attempt,RiskReward,DeltaAtEntry,DeltaDirection,SessionDelta,DeltaAtTP1
36,MCL 02-26,2025-12-18 07:42:00,Long,55.85,2025-12-18 07:48:00,55.76,SL_Long_02,-99.00,16.94,-115.94,-99.00,0.00,Asia Low,2,-1.00,0,1,0,0
37,MCL 02-26,2025-12-18 08:01:00,Long,55.77,2025-12-18 09:32:00,56.23,TP1_Long_03,460.00,15.40,444.60,-57.00,893.00,Asia Low,3,4.84,0,1,0,0
37.2,MCL 02-26,2025-12-18 08:01:00,Long,55.77,2025-12-18 21:32:00,55.77,SL_Long_03,0.00,13.86,-13.86,-57.00,893.00,Asia Low,3,0.00,0,1,0,0
38,MCL 02-26,2025-12-19 06:47:00,Short,56.01,2025-12-19 06:50:00,56.06,SL_Short_01,-105.00,32.34,-137.34,-105.00,21.00,Asia High,1,-1.00,0,1,0,0
39,MCL 02-26,2025-12-19 06:59:00,Short,56.0395575221239,2025-12-19 07:16:00,56.12,SL_Short_02,-96.53,18.48,-115.01,-96.53,83.47,Asia High,2,-1.00,0,1,0,0
40,MCL 02-26,2025-12-19 07:24:00,Short,56.1799310344827,2025-12-19 07:26:00,56.23,SL_Short_03,-100.14,30.80,-130.94,-100.14,0.00,Asia High,3,-1.00,0,1,0,0
41,MCL 02-26,2025-12-19 07:43:00,Short,56.18,2025-12-19 08:30:00,56.26,SL_Short_04,-96.00,18.48,-114.48,-96.00,96.00,Asia High,4,-1.00,0,1,0,0
42,MCL 02-26,2025-12-19 08:55:00,Short,56.3399,2025-12-19 09:02:00,56.38,SL_Short_05,-84.21,32.34,-116.55,-84.21,146.79,Asia High,5,-1.00,0,1,0,0
43,MCL 02-26,2025-12-19 09:16:00,Short,56.4492616033755,2025-12-19 09:44:00,56.51,SL_Short_06,-91.11,23.10,-114.21,-91.11,148.89,Asia High,6,-1.00,0,1,0,0
44,MCL 02-26,2025-12-19 09:54:00,Short,56.52,2025-12-19 11:39:00,56.19,TP1_Short_01,330.00,15.40,314.60,-60.00,680.00,USA High,1,3.30,0,1,0,0
44.2,MCL 02-26,2025-12-19 09:54:00,Short,56.52,2025-12-19 12:34:00,56.52,SL_Short_01,0.00,15.40,-15.40,-60.00,680.00,USA High,1,0.00,0,1,0,0
45,MCL 02-26,2025-12-19 14:16:00,Short,56.64,2025-12-19 14:43:00,56.7,SL_Short_01,-96.00,24.64,-120.64,-96.00,224.00,Europe High,1,-1.00,0,1,0,0
46,MCL 02-26,2025-12-19 14:57:00,Short,56.6796678966789,2025-12-19 18:00:00,56.56,Exit on session close,227.37,29.26,198.11,-38.63,512.37,Europe High,2,2.38,0,1,0,0
