ID,Instrument,EntryTime,Type,EntryPrice,ExitTime,ExitPrice,Result,PnL,Commission,NetPnL,MAE,MFE,Setup,Attempt,RiskReward
232,ZW 03-26,2025-03-24 08:11:00,Long,616.25,2025-03-24 09:32:00,615.75,SL_Long_03,-50.00,11.40,-61.40,0.00,125.00,USA Low,3,-1.00
233,ZW 03-26,2025-03-24 09:43:00,Long,613.75,2025-03-24 10:06:00,612.25,SL_Long_04,-150.00,11.40,-161.40,-100.00,100.00,USA Low,4,-1.00
234.1,ZW 03-26,2025-03-24 10:14:00,Long,612.25,2025-03-24 12:53:00,616.5,TP1_Long_05,212.50,5.70,206.80,-25.00,400.00,USA Low,5,2.13
234.2,ZW 03-26,2025-03-24 10:14:00,Long,612.25,2025-03-24 20:08:00,612.25,SL_Long_05,0.00,5.70,-5.70,-25.00,400.00,USA Low,5,0.00
235,ZW 03-26,2025-03-25 05:16:00,Long,610.75,2025-03-25 05:19:00,610.25,SL_Long_01,-50.00,11.40,-61.40,-25.00,0.00,Europe Low,1,-1.00
236,ZW 03-26,2025-03-25 10:11:00,Long,609.25,2025-03-25 10:11:00,609,SL_Long_02,-62.50,28.50,-91.00,0.00,0.00,Europe Low,2,-1.00
237,ZW 03-26,2025-03-25 10:16:00,Long,609.5,2025-03-25 10:53:00,608.25,SL_Long_03,-125.00,11.40,-136.40,-100.00,175.00,Europe Low,3,-1.00
238,ZW 03-26,2025-03-25 12:55:00,Long,608.502215189873,2025-03-25 13:04:00,607.25,SL_Long_04,-125.22,11.40,-136.62,-50.22,49.78,Europe Low,4,-1.00
239,ZW 03-26,2025-03-26 09:31:00,Long,606.5,2025-03-26 09:31:00,605.75,SL_Long_01,-75.00,11.40,-86.40,0.00,0.00,USA Low,1,-1.00
240,ZW 03-26,2025-03-26 10:40:00,Long,604.25,2025-03-26 10:40:00,604,SL_Long_02,-25.00,11.40,-36.40,0.00,0.00,USA Low,2,-1.00
