ID,Instrument,EntryTime,Type,EntryPrice,ExitTime,ExitPrice,Result,PnL,Commission,NetPnL,MAE,MFE,Setup,Attempt,RiskReward
5,6E 03-26,2025-12-23 06:41:00,Short,1.18415,2025-12-23 06:51:00,1.1844,SL_Short_05,-62.50,12.36,-74.86,-62.50,12.50,Europe High,5,-1.00
6,6E 03-26,2025-12-23 07:06:00,Short,1.1844,2025-12-23 08:29:00,1.1846,SL_Short_06,-50.00,12.36,-62.36,-50.00,150.00,Europe High,6,-1.00
7,6E 03-26,2025-12-24 04:11:00,Long,1.18325030769231,2025-12-24 04:12:00,1.183,SL_Long_01,-62.58,12.36,-74.94,-62.58,0.00,Asia Low,1,-1.00
8,6E 03-26,2025-12-25 20:54:00,Short,1.1834,2025-12-25 20:56:00,1.18315,TP1_Short_01,62.50,12.36,50.14,-18.75,112.50,USA High,1,0.83
8.2,6E 03-26,2025-12-25 20:54:00,Short,1.1834,2025-12-25 21:08:00,1.1834,SL_Short_01,0.00,6.18,-6.18,-18.75,112.50,USA High,1,0.00
9,6E 03-26,2025-12-25 22:56:00,Short,1.18365,2025-12-25 22:58:00,1.18375,SL_Short_02,-62.50,30.90,-93.40,-62.50,31.25,USA High,2,-1.00
10.1,6E 03-26,2025-12-25 23:09:00,Short,1.18364976076555,2025-12-25 23:25:00,1.1833,TP1_Short_03,43.72,6.18,37.54,-0.06,99.94,USA High,3,0.87
10.2,6E 03-26,2025-12-25 23:09:00,Short,1.18364976076555,2025-12-26 02:44:00,1.18175,TP2_Short_03,237.47,6.18,231.29,-0.06,243.72,USA High,3,4.74
11,6E 03-26,2025-12-26 03:01:00,Long,1.181951565762,2025-12-26 03:23:00,1.1816,SL_Long_01,-87.89,12.36,-100.25,-87.89,37.11,USA Low,1,-1.00
12,6E 03-26,2025-12-26 03:54:00,Long,1.18165,2025-12-26 04:02:00,1.1814,SL_Long_02,-62.50,12.36,-74.86,-62.50,50.00,USA Low,2,-1.00
13,6E 03-26,2025-12-26 04:17:00,Long,1.18115,2025-12-26 06:26:00,1.18225,TP1_Long_01,275.00,12.36,262.64,-18.75,431.25,Asia Low,1,4.89
13.2,6E 03-26,2025-12-26 04:17:00,Long,1.18115,2025-12-26 09:09:00,1.1838,TP2_Long_01,331.25,6.18,325.07,-18.75,431.25,Asia Low,1,5.89
14,6E 03-26,2025-12-26 09:27:00,Short,1.18344730423621,2025-12-26 09:37:00,1.18395,SL_Short_01,-125.67,12.36,-138.03,-125.67,49.33,Asia High,1,-1.00
15,6E 03-26,2025-12-26 09:40:00,Short,1.1839,2025-12-26 09:41:00,1.18405,SL_Short_02,-75.00,24.72,-99.72,-75.00,0.00,Asia High,2,-1.00
16.1,6E 03-26,2025-12-26 09:52:00,Short,1.18388897795591,2025-12-26 11:54:00,1.18245,TP1_Short_03,179.87,6.18,173.69,-2.76,372.24,Asia High,3,2.31
16.2,6E 03-26,2025-12-26 09:52:00,Short,1.18388897795591,2025-12-26 12:16:00,1.18145,TP2_Short_03,304.87,6.18,298.69,-2.76,372.24,Asia High,3,3.92
17,6E 03-26,2025-12-26 12:35:00,Long,1.1808,2025-12-26 13:34:00,1.18065,SL_Long_01,-75.00,24.72,-99.72,-75.00,300.00,USA Low,1,-1.00
1,6E 03-26,2025-12-15 06:42:00,Short,1.17959917711599,2025-12-15 07:16:00,1.17995,SL_Short_01,-87.71,12.36,-100.07,-87.71,62.29,Europe High,1,-1.00
2,6E 03-26,2025-12-15 07:34:00,Short,1.18005,2025-12-15 07:41:00,1.18015,SL_Short_02,-50.00,24.72,-74.72,-50.00,75.00,Europe High,2,-1.00
3,6E 03-26,2025-12-15 07:54:00,Short,1.18,2025-12-15 07:55:00,1.18025,SL_Short_03,-62.50,12.36,-74.86,-62.50,0.00,Europe High,3,-1.00
4,6E 03-26,2025-12-15 08:16:00,Short,1.18045,2025-12-15 08:20:00,1.18055,SL_Short_04,-75.00,37.08,-112.08,-75.00,37.50,Europe High,4,-1.00
5,6E 03-26,2025-12-15 08:36:00,Short,1.1807,2025-12-15 08:38:00,1.1808,SL_Short_05,-75.00,37.08,-112.08,-75.00,112.50,Europe High,5,-1.00
6,6E 03-26,2025-12-15 09:01:00,Short,1.18079834515367,2025-12-15 09:35:00,1.18125,SL_Short_06,-112.91,12.36,-125.27,-112.91,99.59,Europe High,6,-1.00
7.1,6E 03-26,2025-12-15 09:47:00,Short,1.181,2025-12-15 10:01:00,1.1798,TP1_Short_07,150.00,6.18,143.82,-25.00,312.50,Europe High,7,1.71
7.2,6E 03-26,2025-12-15 09:47:00,Short,1.181,2025-12-15 10:38:00,1.181,SL_Short_07,0.00,6.18,-6.18,-25.00,312.50,Europe High,7,0.00
