ID,Instrument,EntryTime,Type,EntryPrice,ExitTime,ExitPrice,Result,PnL,Commission,NetPnL,MAE,MFE,Setup,Attempt,RiskReward
15,MHG 03-26,2025-12-24 02:37:00,Short,5.647,2025-12-24 02:37:00,5.648,SL_Short_13,-152.50,93.94,-246.44,-152.50,0.00,Europe High,13,-1.00
16,MHG 03-26,2025-12-24 02:54:00,Short,5.65328647686833,2025-12-24 09:02:00,5.612,TP1_Short_14,206.43,3.08,203.35,-20.35,313.40,Europe High,14,2.57
16.2,MHG 03-26,2025-12-24 02:54:00,Short,5.65328647686833,2025-12-25 19:01:00,5.65328647686833,SL_Short_14,0.00,1.54,-1.54,-41.78,313.40,Europe High,14,0.00
17,MHG 03-26,2025-12-25 20:29:00,Short,5.7085,2025-12-25 20:30:00,5.7105,SL_Short_01,-45.00,13.86,-58.86,-45.00,0.00,Asia High,1,-1.00
18,MHG 03-26,2025-12-25 20:39:00,Short,5.71065666666666,2025-12-25 20:39:00,5.715,SL_Short_02,-43.43,6.16,-49.59,-43.43,0.00,Asia High,2,-1.00
1,MHG 03-26,2025-12-15 05:13:00,Short,5.421,2025-12-15 05:14:00,5.427,SL_Short_01,-30.00,3.08,-33.08,-32.50,0.00,Europe High,1,-1.00
2,MHG 03-26,2025-12-15 05:26:00,Short,5.42474436090226,2025-12-15 08:11:00,5.432,SL_Short_02,-36.28,3.08,-39.36,-36.28,76.22,Europe High,2,-1.00
3,MHG 03-26,2025-12-15 08:18:00,Short,5.427,2025-12-15 08:31:00,5.4335,SL_Short_03,-32.50,3.08,-35.58,-32.50,10.00,Europe High,3,-1.00
4,MHG 03-26,2025-12-15 08:47:00,Short,5.4505,2025-12-15 08:51:00,5.4545,SL_Short_04,-30.00,4.62,-34.62,-30.00,7.50,Europe High,4,-1.00
5,MHG 03-26,2025-12-15 23:08:00,Long,5.335,2025-12-15 23:09:00,5.3315,SL_Long_01,-78.75,13.86,-92.61,-90.00,0.00,Asia Low,1,-1.00
6,MHG 03-26,2025-12-15 23:15:00,Long,5.3255,2025-12-15 23:15:00,5.323,SL_Long_02,-81.25,20.02,-101.27,-81.25,0.00,Asia Low,2,-1.00
7,MHG 03-26,2025-12-15 23:40:00,Long,5.33214556962026,2025-12-16 01:31:00,5.321,SL_Long_03,-83.59,4.62,-88.21,-83.59,130.16,Asia Low,3,-1.00
8,MHG 03-26,2025-12-16 23:54:00,Short,5.41896153846154,2025-12-17 01:34:00,5.4205,SL_Short_01,-46.15,18.48,-64.63,-46.15,493.85,Asia High,1,-1.00
9,MHG 03-26,2025-12-17 01:39:00,Short,5.427375,2025-12-17 01:40:00,5.4285,SL_Short_02,-50.63,27.72,-78.35,-50.63,39.37,Asia High,2,-1.00
10,MHG 03-26,2025-12-17 09:32:00,Short,5.4365,2025-12-17 09:33:00,5.4375,SL_Short_01,-50.00,30.80,-80.80,-50.00,175.00,Asia High,1,-1.00
11,MHG 03-26,2025-12-17 09:34:00,Short,5.4385,2025-12-17 09:34:00,5.4395,SL_Short_02,-100.00,61.60,-161.60,-100.00,0.00,Asia High,2,-1.00
12,MHG 03-26,2025-12-17 09:41:00,Short,5.43699681528663,2025-12-17 09:44:00,5.442,SL_Short_03,-50.03,6.16,-56.19,-50.03,0.00,Asia High,3,-1.00
13,MHG 03-26,2025-12-17 09:51:00,Short,5.437,2025-12-17 09:55:00,5.4445,SL_Short_04,-56.25,4.62,-60.87,-56.25,7.50,Asia High,4,-1.00
14.1,MHG 03-26,2025-12-18 10:32:00,Short,5.44069656992084,2025-12-18 10:40:00,5.4125,TP1_Short_01,70.49,1.54,68.95,-4.02,143.48,Europe High,1,0.56
14.2,MHG 03-26,2025-12-18 10:32:00,Short,5.44069656992084,2025-12-18 11:08:00,5.44069656992084,SL_Short_01,0.00,1.54,-1.54,-4.02,143.48,Europe High,1,0.00
15,MHG 03-26,2025-12-19 01:01:00,Short,5.46338486842105,2025-12-19 01:02:00,5.47,SL_Short_02,-99.23,9.24,-108.47,-99.23,0.00,Europe High,2,-1.00
16,MHG 03-26,2025-12-19 01:24:00,Short,5.469,2025-12-19 01:24:00,5.4715,SL_Short_03,-68.75,16.94,-85.69,-96.25,0.00,Europe High,3,-1.00
17,MHG 03-26,2025-12-19 01:31:00,Short,5.4725,2025-12-19 01:31:00,5.475,SL_Short_04,-68.75,16.94,-85.69,-68.75,0.00,Europe High,4,-1.00
18,MHG 03-26,2025-12-19 01:34:00,Short,5.48942857142857,2025-12-19 01:50:00,5.4905,SL_Short_05,-99.11,56.98,-156.09,-145.36,1057.14,Europe High,5,-1.00
19,MHG 03-26,2025-12-19 01:53:00,Short,5.498,2025-12-19 01:53:00,5.499,SL_Short_06,-200.00,123.20,-323.20,-200.00,0.00,Europe High,6,-1.00
20,MHG 03-26,2025-12-19 01:56:00,Short,5.4995,2025-12-19 02:18:00,5.501,SL_Short_07,-52.50,21.56,-74.06,-52.50,595.00,Europe High,7,-1.00
21,MHG 03-26,2025-12-19 02:33:00,Short,5.49738524590164,2025-12-19 07:51:00,5.503,SL_Short_08,-98.26,10.78,-109.04,-98.26,531.74,Europe High,8,-1.10
22,MHG 03-26,2025-12-19 07:59:00,Short,5.5003488372093,2025-12-19 08:27:00,5.506,SL_Short_01,-113.02,12.32,-125.34,-113.02,176.98,Asia High,1,-1.10
23,MHG 03-26,2025-12-19 08:32:00,Short,5.50597674418605,2025-12-19 08:32:00,5.508,SL_Short_02,-101.16,30.80,-131.96,-101.16,23.84,Asia High,2,-1.00
24,MHG 03-26,2025-12-19 08:41:00,Short,5.5065,2025-12-19 08:44:00,5.5115,SL_Short_03,-87.50,10.78,-98.28,-87.50,35.00,Asia High,3,-1.00
25,MHG 03-26,2025-12-19 08:48:00,Short,5.514,2025-12-19 08:48:00,5.515,SL_Short_04,-200.00,123.20,-323.20,-200.00,0.00,Asia High,4,-1.00
26,MHG 03-26,2025-12-19 08:57:00,Short,5.51397619047619,2025-12-19 09:01:00,5.5185,SL_Short_05,-90.48,12.32,-102.80,-100.48,29.52,Asia High,5,-1.00
27.1,MHG 03-26,2025-12-19 10:32:00,Short,5.53367476851853,2025-12-19 12:55:00,5.496,TP1_Short_06,94.19,1.54,92.65,-96.63,190.87,Europe High,6,0.57
27.2,MHG 03-26,2025-12-19 10:32:00,Short,5.53367476851853,2025-12-19 18:00:00,5.485,Exit on session close,121.69,1.54,120.15,-96.63,190.87,Europe High,6,0.74
1.1,MHG 03-26,2025-12-08 12:01:00,Long,5.41056971514243,2025-12-08 13:56:00,5.445,TP1_Long_01,86.08,1.54,84.54,-37.85,177.15,USA Low,1,1.14
1.2,MHG 03-26,2025-12-08 12:01:00,Long,5.41056971514243,2025-12-08 22:29:00,5.41056971514243,SL_Long_01,0.00,1.54,-1.54,-37.85,177.15,USA Low,1,0.00
2,MHG 03-26,2025-12-09 01:51:00,Long,5.381,2025-12-09 01:51:00,5.38,SL_Long_02,-135.00,83.16,-218.16,-135.00,405.00,USA Low,2,-1.00
3,MHG 03-26,2025-12-09 01:54:00,Long,5.376,2025-12-09 01:58:00,5.374,SL_Long_03,-60.00,18.48,-78.48,-60.00,315.00,USA Low,3,-1.00
