ID,Instrument,EntryTime,Type,EntryPrice,ExitTime,ExitPrice,Result,PnL,Commission,NetPnL,MAE,MFE,Setup,Attempt,RiskReward
16,MGC 02-26,2025-12-18 06:09:00,Long,4354.10912305515,2025-12-18 08:29:00,4350.9,SL_Long_03,-96.27,4.62,-100.89,-96.27,200.73,Asia Low,3,-1.00
17,MGC 02-26,2025-12-18 09:01:00,Long,4352.04960675236,2025-12-18 09:07:00,4348.6,SL_Long_01,-103.49,4.62,-108.11,-103.49,127.51,USA Low,1,-1.00
18.1,MGC 02-26,2025-12-18 09:23:00,Long,4351.22551724137,2025-12-18 09:31:00,4360.3,TP1_Long_02,90.74,1.54,89.20,-14.51,183.49,USA Low,2,0.98
18.2,MGC 02-26,2025-12-18 09:23:00,Long,4351.22551724137,2025-12-18 10:42:00,4351.22551724137,SL_Long_02,0.00,1.54,-1.54,-14.51,246.74,USA Low,2,0.00
19.1,MGC 02-26,2025-12-18 12:26:00,Short,4403.79719114498,2025-12-18 13:09:00,4374.3,TP1_Short_01,294.97,1.54,293.43,-100.06,591.94,Europe High,1,2.54
19.2,MGC 02-26,2025-12-18 12:26:00,Short,4403.79719114498,2025-12-18 21:25:00,4346.7,TP2_Short_01,570.97,1.54,569.43,-100.06,591.94,Europe High,1,4.92
1.1,MGC 02-26,2025-12-09 02:22:00,Long,4202.30974067045,2025-12-09 03:07:00,4212.6,TP1_Long_01,102.90,1.54,101.36,-12.19,207.81,Asia Low,1,1.03
1.2,MGC 02-26,2025-12-09 02:22:00,Long,4202.30974067045,2025-12-09 03:08:00,4213,TP2_Long_01,106.90,1.54,105.36,-12.19,207.81,Asia Low,1,1.07
2,MGC 02-26,2025-12-09 05:28:00,Short,4237.4,2025-12-09 12:00:00,4242.1,SL_Short_01,-94.00,3.08,-97.08,-94.00,386.00,USA High,1,-1.00
3,MGC 02-26,2025-12-09 12:31:00,Short,4245.09183575343,2025-12-09 12:46:00,4250.6,SL_Short_01,-110.16,3.08,-113.24,-110.16,43.84,Asia High,1,-1.00
4.1,MGC 02-26,2025-12-09 13:06:00,Short,4244.97021306819,2025-12-10 01:20:00,4230.1,TP1_Short_02,148.70,1.54,147.16,-56.60,299.40,Asia High,2,1.12
4.2,MGC 02-26,2025-12-09 13:06:00,Short,4244.97021306819,2025-12-10 04:01:00,4229.8,TP2_Short_02,151.70,1.54,150.16,-56.60,299.40,Asia High,2,1.14
5,MGC 02-26,2025-12-10 04:05:00,Long,4231.91596385542,2025-12-10 04:11:00,4229,SL_Long_01,-58.32,3.08,-61.40,-58.32,31.68,Asia Low,1,-1.00
6,MGC 02-26,2025-12-10 04:31:00,Long,4231.51245572609,2025-12-10 04:45:00,4227.6,SL_Long_02,-78.25,3.08,-81.33,-78.25,9.75,Asia Low,2,-1.00
7,MGC 02-26,2025-12-10 04:51:00,Long,4228.30123203285,2025-12-10 04:53:00,4226.4,SL_Long_03,-57.04,4.62,-61.66,-57.04,2.96,Asia Low,3,-1.00
8,MGC 02-26,2025-12-10 04:59:00,Long,4226.3019826518,2025-12-10 05:00:00,4225,SL_Long_04,-52.08,6.16,-58.24,-52.08,15.92,Asia Low,4,-1.00
