ID,Instrument,EntryTime,Type,EntryPrice,ExitTime,ExitPrice,Result,PnL,Commission,NetPnL,MAE,MFE,Setup,Attempt,RiskReward
1,MYM 03-26,2025-12-22 07:23:00,Long,48486,2025-12-22 07:31:00,48472,SL_Long_01,-21.00,5.46,-26.46,-21.00,15.00,Europe Low,1,-1.00
2,MYM 03-26,2025-12-22 07:34:00,Long,48459.125,2025-12-22 08:06:00,48507,TP1_Long_02,263.31,20.02,243.29,0.00,537.63,Europe Low,2,11.26
2.2,MYM 03-26,2025-12-22 07:34:00,Long,48459.125,2025-12-22 10:05:00,48544,TP2_Long_02,466.81,20.02,446.79,0.00,537.63,Europe Low,2,19.97
3,MYM 03-26,2025-12-22 10:32:00,Short,48643,2025-12-22 10:32:00,48645,SL_Short_01,-33.00,60.06,-93.06,-33.00,49.50,USA High,1,-1.00
4,MYM 03-26,2025-12-23 05:46:00,Short,48717,2025-12-23 06:01:00,48719,SL_Short_01,-27.00,49.14,-76.14,-27.00,135.00,Asia High,1,-1.00
5,MYM 03-26,2025-12-23 06:12:00,Short,48726.9166666667,2025-12-23 07:20:00,48679,TP1_Short_02,383.33,29.12,354.21,-1.33,782.67,Asia High,2,7.77
5.2,MYM 03-26,2025-12-23 06:12:00,Short,48726.9166666667,2025-12-23 09:36:00,48635,TP2_Short_02,735.33,29.12,706.21,-1.33,782.67,Asia High,2,14.91
6,MYM 03-26,2025-12-23 09:50:00,Long,48600.0041972718,2025-12-23 09:59:00,48583,SL_Long_01,-51.01,10.92,-61.93,-51.01,17.99,Asia Low,1,-1.00
7,MYM 03-26,2025-12-23 11:49:00,Short,48776.9893203883,2025-12-23 13:22:00,48794,SL_Short_01,-51.03,10.92,-61.95,-51.03,143.97,USA High,1,-1.00
8,MYM 03-26,2025-12-23 13:31:00,Short,48784.9207317073,2025-12-23 14:08:00,48799,SL_Short_02,-56.32,14.56,-70.88,-56.32,95.68,USA High,2,-1.00
9,MYM 03-26,2025-12-23 14:14:00,Short,48800,2025-12-23 14:18:00,48810,SL_Short_03,-55.00,20.02,-75.02,-55.00,0.00,USA High,3,-1.00
10,MYM 03-26,2025-12-23 14:28:00,Short,48836.965665236,2025-12-23 14:32:00,48849,SL_Short_04,-66.19,20.02,-86.21,-66.19,27.31,USA High,4,-1.00
