ID,Instrument,EntryTime,Type,EntryPrice,ExitTime,ExitPrice,Result,PnL,Commission,NetPnL,MAE,MFE,Setup,Attempt,RiskReward
2,MBT 01-26,2025-11-24 06:32:00,Long,86601,2025-11-24 06:35:00,86575,SL_Long_02,-44.20,53.04,-97.24,-44.20,117.30,Europe Low,2,-1.00
3,MBT 01-26,2025-11-24 10:51:00,Long,86181.6666666667,2025-11-24 10:51:00,86170,SL_Long_03,-43.17,115.44,-158.61,-117.17,49.33,Europe Low,3,-1.00
4,MBT 01-26,2025-11-24 14:01:00,Short,89408.8888888889,2025-11-24 14:01:00,89420,SL_Short_01,-38.89,109.20,-148.09,-38.89,241.11,USA High,1,-1.00
5,MBT 01-26,2025-11-24 14:06:00,Short,89290.7692307692,2025-11-24 14:08:00,89500,SL_Short_02,-41.85,6.24,-48.09,-43.85,3.15,USA High,2,-1.00
6,MBT 01-26,2025-11-24 14:13:00,Short,89429.8484848485,2025-11-24 14:50:00,89565,SL_Short_03,-40.55,9.36,-49.91,-42.05,80.95,USA High,3,-1.00
7,MBT 01-26,2025-11-24 15:07:00,Short,89762.5,2025-11-24 15:07:00,89775,SL_Short_04,-38.75,96.72,-135.47,-54.25,0.00,USA High,4,-1.00
8,MBT 01-26,2025-11-24 15:20:00,Short,89695,2025-11-24 16:22:00,89785,SL_Short_05,-36.00,12.48,-48.48,-44.00,258.00,USA High,5,-1.00
9,MBT 01-26,2025-11-25 04:09:00,Long,88280,2025-11-25 04:49:00,88155,SL_Long_01,-50.00,12.48,-62.48,-50.00,66.00,Asia Low,1,-1.04
10,MBT 01-26,2025-11-25 04:50:00,Long,88130,2025-11-25 04:50:00,88115,SL_Long_02,-46.50,96.72,-143.22,-170.50,0.00,Asia Low,2,-1.00
11,MBT 01-26,2025-11-26 05:56:00,Long,87605.7142857143,2025-11-26 05:56:00,87595,SL_Long_01,-71.79,209.04,-280.83,-105.29,0.00,Asia Low,1,-1.00
12,MBT 01-26,2025-11-26 06:01:00,Long,87665,2025-11-26 06:35:00,87530,SL_Long_02,-121.50,28.08,-149.58,-121.50,225.00,Asia Low,2,-1.69
13,MBT 01-26,2025-11-26 13:36:00,Short,89941.6666666667,2025-11-26 13:36:00,89960,SL_Short_01,-51.33,87.36,-138.69,-51.33,18.67,Asia High,1,-1.00
14,MBT 01-26,2025-11-26 13:45:00,Short,90345,2025-11-26 13:45:00,90375,SL_Short_02,-60.00,62.40,-122.40,-70.00,40.00,USA High,2,-1.00
15,MBT 01-26,2025-11-26 13:50:00,Short,90862.5,2025-11-26 13:59:00,90880,SL_Short_03,-57.75,102.96,-160.71,-57.75,1278.75,USA High,3,-1.00
16,MBT 01-26,2025-11-26 14:06:00,Short,90874.9096385542,2025-11-26 14:08:00,90995,SL_Short_04,-60.05,15.60,-75.65,-60.05,17.45,USA High,4,-1.00
17,MBT 01-26,2025-11-26 14:18:00,Short,91314,2025-11-26 14:18:00,91325,SL_Short_05,-44.00,124.80,-168.80,-44.00,96.00,USA High,5,-1.00
18,MBT 01-26,2025-11-26 14:21:00,Short,91230.3947368421,2025-11-26 14:28:00,91340,SL_Short_06,-43.84,12.48,-56.32,-43.84,62.16,USA High,6,-1.00
19,MBT 01-26,2025-11-26 14:52:00,Short,91060,2025-11-26 17:33:00,91415,SL_Short_07,-71.00,6.24,-77.24,-72.00,115.00,USA High,7,-1.00
20,MBT 01-26,2025-11-26 17:38:00,Short,91360.44,2025-11-26 19:01:00,91500,SL_Short_08,-97.69,21.84,-119.53,-97.69,112.31,USA High,8,-1.22
21,MBT 01-26,2025-11-27 06:23:00,Short,92765.3812636166,2025-11-27 08:23:00,92225,TP1_Short_01,108.08,6.24,101.84,-4.39,163.61,Europe High,1,1.95
21.2,MBT 01-26,2025-11-27 06:23:00,Short,92765.3812636166,2025-11-27 08:23:00,92215,TP2_Short_01,55.04,3.12,51.92,-4.39,163.61,Europe High,1,0.99
22,MBT 01-26,2025-11-28 09:41:00,Short,93004.347826087,2025-11-28 09:46:00,93015,SL_Short_01,-30.89,90.48,-121.37,-30.89,650.61,USA High,1,-1.00
23,MBT 01-26,2025-11-28 14:00:00,Long,91480.8275154004,2025-11-28 14:00:00,91475,SL_Long_01,-1.17,6.24,-7.41,-1.17,8.83,Asia Low,1,-1.00
1,MBT 01-26,2025-11-17 09:52:00,Long,94638.3333333333,2025-11-17 09:53:00,94625,SL_Long_01,-62.67,146.64,-209.31,-62.67,407.33,Europe Low,1,-1.00
2.1,MBT 01-26,2025-11-17 10:00:00,Long,94875,2025-11-17 10:35:00,95950,TP1_Long_02,107.50,3.12,104.38,-14.00,216.00,Europe Low,2,1.99
2.2,MBT 01-26,2025-11-17 10:00:00,Long,94875,2025-11-17 11:20:00,94875,SL_Long_02,0.00,3.12,-3.12,-14.00,225.00,Europe Low,2,0.00
3,MBT 01-26,2025-11-19 01:16:00,Long,91860,2025-11-19 01:29:00,91800,SL_Long_01,-30.00,15.60,-45.60,-30.00,127.50,USA Low,1,-1.00
4,MBT 01-26,2025-11-19 01:43:00,Long,91430,2025-11-19 01:45:00,91405,SL_Long_01,-72.50,90.48,-162.98,-72.50,130.50,Europe Low,1,-1.00
5.1,MBT 01-26,2025-11-19 01:58:00,Long,91291.09375,2025-11-19 03:48:00,92975,TP2_Long_02,168.39,3.12,165.27,-7.83,505.17,Europe Low,2,2.15
5.2,MBT 01-26,2025-11-19 01:58:00,Long,91291.09375,2025-11-19 03:50:00,93050,TP1_Long_02,351.78,6.24,345.54,-7.83,505.17,Europe Low,2,4.49
6,MBT 01-26,2025-11-19 12:05:00,Long,91089.7219917012,2025-11-19 12:20:00,90840,SL_Long_01,-74.92,9.36,-84.28,-74.92,58.58,USA Low,1,-1.00
7,MBT 01-26,2025-11-19 12:24:00,Long,90827.9133333333,2025-11-19 12:26:00,90665,SL_Long_02,-81.46,15.60,-97.06,-81.46,6.04,USA Low,2,-1.00
8,MBT 01-26,2025-11-19 12:41:00,Long,90515,2025-11-19 12:51:00,90455,SL_Long_03,-96.00,49.92,-145.92,-104.00,616.00,USA Low,3,-1.00
9,MBT 01-26,2025-11-19 13:03:00,Long,90858.0726965342,2025-11-19 13:13:00,90440,SL_Long_04,-83.61,6.24,-89.85,-83.61,23.39,USA Low,4,-1.00
10,MBT 01-26,2025-11-19 13:26:00,Long,90489.0186915888,2025-11-19 13:34:00,90265,SL_Long_01,-89.61,12.48,-102.09,-89.61,40.39,USA Low,1,-1.00
11,MBT 01-26,2025-11-19 13:46:00,Long,90229.6677018633,2025-11-19 14:29:00,89870,SL_Long_02,-107.90,9.36,-117.26,-110.90,159.10,USA Low,2,-1.00
12,MBT 01-26,2025-11-19 14:41:00,Long,90056.5477941177,2025-11-19 14:50:00,89835,SL_Long_03,-88.62,12.48,-101.10,-88.62,0.00,USA Low,3,-1.00
