ID,Instrument,EntryTime,Type,EntryPrice,ExitTime,ExitPrice,Result,PnL,Commission,NetPnL,MAE,MFE,Setup,Attempt,RiskReward
17.2,M2K 03-26,2025-12-09 12:31:00,Short,2562.7696969697,2025-12-10 15:01:00,2562.7696969697,SL_Short_01,0.00,1.82,-1.82,-27.45,155.55,USA High,1,0.00
18,M2K 03-26,2025-12-10 15:08:00,Short,2567.69047619048,2025-12-10 15:08:00,2567.9,SL_Short_02,-91.14,158.34,-249.48,-91.14,691.86,Europe High,2,-1.00
19,M2K 03-26,2025-12-10 15:21:00,Short,2571.6,2025-12-10 15:34:00,2575.3,SL_Short_03,-92.50,9.10,-101.60,-92.50,270.00,Europe High,3,-1.00
20,M2K 03-26,2025-12-10 15:39:00,Short,2576.69981898632,2025-12-10 15:55:00,2585.5,SL_Short_04,-88.00,3.64,-91.64,-88.00,159.00,Europe High,4,-1.00
21,M2K 03-26,2025-12-10 16:03:00,Short,2587.89805931892,2025-12-10 16:09:00,2592.5,SL_Short_05,-69.03,5.46,-74.49,-69.03,35.97,Europe High,5,-1.00
22,M2K 03-26,2025-12-10 16:23:00,Short,2600.9,2025-12-10 16:23:00,2601.1,SL_Short_06,-100.00,182.00,-282.00,-100.00,0.00,Europe High,6,-1.00
23.1,M2K 03-26,2025-12-10 16:27:00,Short,2595.49043624161,2025-12-10 23:10:00,2564.9,TP1_Short_07,152.95,1.82,151.13,-31.10,306.90,Europe High,7,2.39
23.2,M2K 03-26,2025-12-10 16:27:00,Short,2595.49043624161,2025-12-11 10:37:00,2595.49043624161,SL_Short_07,0.00,1.82,-1.82,-31.10,306.90,Europe High,7,0.00
24,M2K 03-26,2025-12-11 13:00:00,Short,2605.18593894543,2025-12-11 13:05:00,2609,SL_Short_01,-76.28,7.28,-83.56,-76.28,19.72,USA High,1,-1.00
25,M2K 03-26,2025-12-11 13:11:00,Short,2608.2,2025-12-11 13:13:00,2609.8,SL_Short_02,-88.00,20.02,-108.02,-88.00,16.50,USA High,2,-1.00
26,M2K 03-26,2025-12-11 13:36:00,Short,2611.29888724036,2025-12-11 13:43:00,2612.7,SL_Short_03,-77.06,20.02,-97.08,-77.06,131.94,USA High,3,-1.00
27,M2K 03-26,2025-12-11 14:21:00,Short,2611.79852289513,2025-12-11 14:23:00,2613.5,SL_Short_04,-85.07,18.20,-103.27,-85.07,0.00,USA High,4,-1.00
28,M2K 03-26,2025-12-11 14:31:00,Short,2611.89887278583,2025-12-11 15:02:00,2613.8,SL_Short_05,-85.55,16.38,-101.93,-85.55,184.45,USA High,5,-1.00
29,M2K 03-26,2025-12-11 15:10:00,Short,2612.49337260678,2025-12-11 15:17:00,2614.8,SL_Short_06,-80.73,12.74,-93.47,-80.73,55.77,USA High,6,-1.00
30,M2K 03-26,2025-12-11 15:26:00,Short,2615.09465081724,2025-12-11 15:31:00,2615.9,SL_Short_07,-88.59,40.04,-128.63,-88.59,120.41,USA High,7,-1.00
31,M2K 03-26,2025-12-11 15:51:00,Short,2614.89516728624,2025-12-11 16:46:00,2616.1,SL_Short_08,-96.39,29.12,-125.51,-96.39,295.61,USA High,8,-1.00
32,M2K 03-26,2025-12-11 17:31:00,Short,2616.1,2025-12-11 17:45:00,2616.7,SL_Short_09,-57.00,34.58,-91.58,-57.00,104.50,USA High,9,-1.00
33,M2K 03-26,2025-12-11 22:07:00,Short,2621.4,2025-12-11 22:09:00,2621.8,SL_Short_10,-58.00,52.78,-110.78,-58.00,72.50,USA High,10,-1.00
34,M2K 03-26,2025-12-11 22:31:00,Short,2622.2812849162,2025-12-11 22:45:00,2623.9,SL_Short_11,-72.84,16.38,-89.22,-72.84,53.16,USA High,11,-1.00
