ID,Instrument,EntryTime,Type,EntryPrice,ExitTime,ExitPrice,Result,PnL,Commission,NetPnL,MAE,MFE,Setup,Attempt,RiskReward
1,MCL 02-26,2025-12-15 04:35:00,Long,57.4000970873786,2025-12-15 05:03:00,57.55,TP1_Long_01,29.98,3.08,26.90,-20.04,63.96,Europe Low,1,1.25
1.2,MCL 02-26,2025-12-15 04:35:00,Long,57.4000970873786,2025-12-15 05:04:00,57.57,TP2_Long_01,33.98,3.08,30.90,-20.04,63.96,Europe Low,1,1.41
2,MCL 02-26,2025-12-16 01:31:00,Long,56.26,2025-12-16 01:31:00,56.24,SL_Long_01,-28.00,21.56,-49.56,-28.00,0.00,Asia Low,1,-1.00
3,MCL 02-26,2025-12-16 01:38:00,Long,56.24,2025-12-16 01:42:00,56.2,SL_Long_02,-32.00,12.32,-44.32,-32.00,0.00,Asia Low,2,-1.00
4,MCL 02-26,2025-12-16 04:19:00,Long,56.06,2025-12-16 04:22:00,56.04,SL_Long_01,-16.00,12.32,-28.32,-16.00,24.00,Europe Low,1,-1.00
5,MCL 02-26,2025-12-16 04:31:00,Long,55.98,2025-12-16 04:31:00,55.95,SL_Long_02,-24.00,12.32,-36.32,-24.00,0.00,Europe Low,2,-1.00
6,MCL 02-26,2025-12-16 05:02:00,Long,55.94,2025-12-16 05:32:00,55.81,SL_Long_03,-26.00,3.08,-29.08,-26.00,20.00,Europe Low,3,-1.00
7,MCL 02-26,2025-12-16 05:46:00,Long,55.75,2025-12-16 05:49:00,55.72,SL_Long_04,-18.00,9.24,-27.24,-18.00,12.00,Europe Low,4,-1.00
8,MCL 02-26,2025-12-16 06:06:00,Long,55.68,2025-12-16 06:08:00,55.65,SL_Long_05,-24.00,12.32,-36.32,-24.00,0.00,Europe Low,5,-1.00
9,MCL 02-26,2025-12-16 06:13:00,Long,55.63,2025-12-16 06:23:00,55.58,SL_Long_06,-30.00,9.24,-39.24,-30.00,18.00,Europe Low,6,-1.00
10,MCL 02-26,2025-12-16 07:03:00,Long,55.7181524926686,2025-12-16 09:50:00,55.56,SL_Long_07,-31.63,3.08,-34.71,-31.63,34.37,Europe Low,7,-1.00
