Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,Clearing Fee,Exchange Fee,IP Fee,NFA Fee,MAE,MFE,ETD,Bars,
188,MNQ 03-25,Playback101,,Short,1,21928.00,21934.00,22/1/25 9:47:01 a. m.,22/1/25 9:51:47 a. m.,EntryAnticipado_Short_08,SL_Short_08,$-1390,$99850,$190,$000,$000,$000,$000,$1250,$700,$2090,5,
189,MNQ 03-25,Playback101,,Short,6,21927.00,21935.00,22/1/25 9:57:01 a. m.,22/1/25 10:31:24 a. m.,EntryAnticipado_Short_09,SL_Short_09,$-10740,$89110,$1140,$000,$000,$000,$000,$13200,$33900,$44640,35,
190,MNQ 03-25,Playback101,,Short,1,21927.25,21935.00,22/1/25 9:57:01 a. m.,22/1/25 10:31:24 a. m.,EntryAnticipado_Short_09,SL_Short_09,$-1740,$87370,$190,$000,$000,$000,$000,$2150,$5700,$7440,35,
191,MNQ 03-25,Playback101,,Short,3,21927.25,21934.75,22/1/25 9:57:01 a. m.,22/1/25 10:31:24 a. m.,EntryAnticipado_Short_09,SL_Short_09,$-5070,$82300,$570,$000,$000,$000,$000,$6450,$17100,$22170,35,
192,MNQ 03-25,Playback101,,Short,2,21958.00,21982.50,22/1/25 10:35:01 a. m.,22/1/25 10:49:57 a. m.,EntryAnticipado_Short_01,SL_Short_01,$-10180,$72120,$380,$000,$000,$000,$000,$11500,$12700,$22880,15,
193,MNQ 03-25,Playback101,,Short,1,21958.00,21982.25,22/1/25 10:35:01 a. m.,22/1/25 10:49:57 a. m.,EntryAnticipado_Short_01,SL_Short_01,$-5040,$67080,$190,$000,$000,$000,$000,$5750,$6350,$11390,15,
194,MNQ 03-25,Playback101,,Short,3,22014.00,22037.25,22/1/25 11:24:00 a. m.,22/1/25 11:37:52 a. m.,EntryAnticipado_Short_02,SL_Short_02,$-14520,$52560,$570,$000,$000,$000,$000,$16500,$10050,$24570,14,
195,MNQ 03-25,Playback101,,Short,2,22015.25,22043.25,22/1/25 11:52:01 a. m.,22/1/25 12:26:27 p. m.,EntryAnticipado_Short_03,SL_Short_03,$-11580,$40980,$380,$000,$000,$000,$000,$12300,$10300,$21880,35,
196,MNQ 03-25,Playback101,,Short,1,22015.25,22043.00,22/1/25 11:52:01 a. m.,22/1/25 12:26:27 p. m.,EntryAnticipado_Short_03,SL_Short_03,$-5740,$35240,$190,$000,$000,$000,$000,$6150,$5150,$10890,35,
197,MNQ 03-25,Playback101,,Short,1,22066.25,21982.50,22/1/25 1:15:01 p. m.,22/1/25 4:52:18 p. m.,EntryAnticipado_Short_04,TP1_Short_04,$16560,$51800,$190,$000,$000,$000,$000,$2350,$44600,$28040,218,
198,MNQ 03-25,Playback101,,Short,1,22066.25,21907.75,22/1/25 1:15:01 p. m.,24/1/25 5:59:01 p. m.,EntryAnticipado_Short_04,Exit_Short_Market,$31510,$83310,$190,$000,$000,$000,$000,$2350,$44600,$13090,3028,
199,MNQ 03-25,Playback101,,Long,2,21529.50,21511.25,26/1/25 9:45:01 p. m.,26/1/25 9:46:54 p. m.,EntryAnticipado_Long_01,SL_Long_01,$-7680,$75630,$380,$000,$000,$000,$000,$7300,$1100,$8780,2,
200,MNQ 03-25,Playback101,,Long,1,21529.50,21511.50,26/1/25 9:45:01 p. m.,26/1/25 9:46:54 p. m.,EntryAnticipado_Long_01,SL_Long_01,$-3790,$71840,$190,$000,$000,$000,$000,$3650,$550,$4340,2,
201,MNQ 03-25,Playback101,,Long,1,21529.25,21511.50,26/1/25 9:45:01 p. m.,26/1/25 9:46:54 p. m.,EntryAnticipado_Long_01,SL_Long_01,$-3740,$68100,$190,$000,$000,$000,$000,$3600,$600,$4340,2,
202,MNQ 03-25,Playback101,,Long,1,21528.25,21488.25,26/1/25 9:53:01 p. m.,27/1/25 12:36:43 a. m.,EntryAnticipado_Long_02,SL_Long_02,$-8190,$59910,$190,$000,$000,$000,$000,$9350,$6950,$15140,164,
203,MNQ 03-25,Playback101,,Long,1,21528.00,21488.25,26/1/25 9:53:01 p. m.,27/1/25 12:36:43 a. m.,EntryAnticipado_Long_02,SL_Long_02,$-8140,$51770,$190,$000,$000,$000,$000,$9300,$7000,$15140,164,
204,MNQ 03-25,Playback101,,Long,7,21483.25,21472.25,27/1/25 12:42:01 a. m.,27/1/25 1:11:00 a. m.,EntryAnticipado_Long_03,SL_Long_03,$-16730,$35040,$1330,$000,$000,$000,$000,$23100,$32900,$49630,29,
