ID,Instrument,EntryTime,Type,EntryPrice,ExitTime,ExitPrice,Result,PnL,Commission,NetPnL,MAE,MFE,Setup,Attempt,RiskReward,DeltaAtEntry,DeltaDirection,SessionDelta,DeltaAtTP1
6.4,M2K 03-25,2025-01-07 11:47:13,Long,2254.3,2025-01-07 11:55:39,2270.7,TP1_Long_01,82.00,1.90,80.10,-67.50,742.50,USA Low,1,4.82,0,1,0,0,4
6.5,M2K 03-25,2025-01-07 11:47:13,Long,2254.3,2025-01-07 11:55:39,2270.7,TP1_Long_01,82.00,1.90,80.10,-67.50,742.50,USA Low,1,4.82,0,1,0,0,4
6.6,M2K 03-25,2025-01-07 11:47:13,Long,2254.3,2025-01-07 16:22:10,2254.1,SL_Long_01,-2.00,3.80,-5.80,-67.50,742.50,USA Low,1,-0.12,0,1,0,0,4
6.7,M2K 03-25,2025-01-07 11:47:13,Long,2254.3,2025-01-07 16:22:10,2254,SL_Long_01,-3.00,3.80,-6.80,-67.50,742.50,USA Low,1,-0.18,0,1,0,0,4
7.1,M2K 03-25,2025-01-07 16:44:41,Long,2255.2,2025-01-07 17:17:22,2267.2,TP1_Long_02,60.00,1.90,58.10,-42.00,357.00,USA Low,2,0.41,0,1,0,0,4
7.2,M2K 03-25,2025-01-07 16:44:41,Long,2255.2,2025-01-07 17:17:22,2267.2,TP1_Long_02,120.00,3.80,116.20,-42.00,357.00,USA Low,2,0.82,0,1,0,0,4
7.3,M2K 03-25,2025-01-07 16:44:41,Long,2255.2,2025-01-08 07:31:40,2255,SL_Long_02,-2.00,3.80,-5.80,-42.00,357.00,USA Low,2,-0.01,0,1,0,0,4
7.4,M2K 03-25,2025-01-07 16:44:41,Long,2255.2,2025-01-08 07:31:40,2254.9,SL_Long_02,-1.50,1.90,-3.40,-42.00,357.00,USA Low,2,-0.01,0,1,0,0,4
8,M2K 03-25,2025-01-08 07:40:01,Long,2242.7,2025-01-08 07:41:05,2241.9,SL_Long_01,-20.00,9.50,-29.50,-400.00,950.00,Asia Low,1,-40.00,0,1,0,0,6
8.2,M2K 03-25,2025-01-08 07:40:01,Long,2242.7,2025-01-08 07:41:05,2241.8,SL_Long_01,-427.50,180.50,-608.00,-400.00,950.00,Asia Low,1,-855.00,0,1,0,0,6
9,M2K 03-25,2025-01-08 08:12:37,Long,2246.6,2025-01-08 08:20:38,2241,SL_Long_02,-84.00,5.70,-89.70,-140.00,7.50,Asia Low,2,-0.60,0,1,0,0,6
9.2,M2K 03-25,2025-01-08 08:12:37,Long,2246.6,2025-01-08 08:20:38,2240.9,SL_Long_02,-57.00,3.80,-60.80,-140.00,7.50,Asia Low,2,-0.41,0,1,0,0,6
