[06:25:07.354] [SYSTEM] Bar:-1 Time:N/A | === RelativeVwap Debug Log Started ===
[06:25:07.354] [SYSTEM] Bar:-1 Time:N/A | Version: 1.0.47
[06:25:07.355] [SYSTEM] Bar:-1 Time:N/A | Instrument: NQ 03-26
[06:25:07.633] [ANCHOR] Bar:546 Time:04:07:00 | NEW HIGH ANCHOR | Price:25716.50 | High:25719.25 | VWAP:25716.50 | PrevAnchor:545 | TrackerReset:-1
[06:25:07.635] [ANCHOR] Bar:549 Time:04:10:00 | NEW HIGH ANCHOR | Price:25716.67 | High:25720.75 | VWAP:25716.67 | PrevAnchor:548 | TrackerReset:-1
[06:25:07.637] [SIGNAL2] Bar:552 Time:04:13:00 | SIG2 SHORT FIRED | High:25708.75 | VWAP:25712.34 | Sep:3.59 | Thresh:1 | AnchorBar:549 | LastSignaled:-1
[06:25:07.654] [ANCHOR] Bar:563 Time:04:24:00 | NEW HIGH ANCHOR | Price:25725.00 | High:25730.00 | VWAP:25725.00 | PrevAnchor:562 | TrackerReset:-1
[06:25:07.655] [ANCHOR] Bar:564 Time:04:25:00 | NEW HIGH ANCHOR | Price:25734.17 | High:25738.25 | VWAP:25734.17 | PrevAnchor:563 | TrackerReset:-1
[06:25:07.655] [ANCHOR] Bar:565 Time:04:26:00 | NEW HIGH ANCHOR | Price:25735.67 | High:25742.00 | VWAP:25735.67 | PrevAnchor:564 | TrackerReset:-1
[06:25:07.656] [SIGNAL2] Bar:568 Time:04:29:00 | SIG2 SHORT FIRED | High:25733.25 | VWAP:25733.86 | Sep:0.61 | Thresh:1 | AnchorBar:565 | LastSignaled:-1
[06:25:07.709] [ANCHOR] Bar:928 Time:10:29:00 | NEW HIGH ANCHOR | Price:25735.67 | High:25743.50 | VWAP:25735.67 | PrevAnchor:927 | TrackerReset:-1
[06:25:07.711] [ANCHOR] Bar:929 Time:10:30:00 | NEW HIGH ANCHOR | Price:25743.75 | High:25749.25 | VWAP:25743.75 | PrevAnchor:928 | TrackerReset:-1
[06:25:07.713] [ANCHOR] Bar:930 Time:10:31:00 | NEW HIGH ANCHOR | Price:25727.25 | High:25760.50 | VWAP:25727.25 | PrevAnchor:929 | TrackerReset:-1
